decay,alpha,gamma,r2,rmse,mape
0.7,1.0,0.5,0.8985618503572541,207849.19561006234,0.06990909793359566
0.7,1.0,0.7,0.8985445641377499,207866.9047943083,0.07147873255464136
0.7,1.0,0.3,0.8980815168397038,208340.72185905837,0.0693170234740582
0.7,1.5,0.5,0.8970769753573886,209364.9410054822,0.07762334370365563
0.7,1.5,0.7,0.8970198146578757,209423.07078443156,0.07926614976003503
0.7,1.5,0.3,0.8964851201018685,209966.05096624396,0.0745154384940379
0.5,1.0,0.5,0.8959630972153662,210494.81187971216,0.07483293252799826
0.5,1.0,0.7,0.8958882348021749,210570.53172230863,0.07681752637304058
0.5,1.0,0.3,0.895817499236627,210642.05244103362,0.07343773203456098
0.7,2.0,0.5,0.8953454094141189,211118.76192084077,0.08313856616210544
0.7,2.0,0.7,0.8949930253305562,211473.8938466833,0.08450633497174675
0.7,2.0,0.3,0.8948677774543943,211599.97481805406,0.07793071125150261
0.5,1.5,0.3,0.8924933028361913,213976.1891643319,0.08051883833045119
0.5,1.5,0.5,0.8921540873042814,214313.5024798614,0.08429154958458948
0.5,1.5,0.7,0.8918808509629882,214584.82103171336,0.08634737348271887
0.3,1.0,0.3,0.891372073994644,215089.11504274246,0.07775814032731028
0.3,1.0,0.5,0.8913547042671691,215106.31085099914,0.08048696505058099
0.3,1.0,0.7,0.8913011602814205,215159.31006484077,0.08225232052298782
0.5,2.0,0.3,0.8885883752787527,217827.61812577964,0.08775919852983446
0.5,2.0,0.5,0.8884004369417138,218011.26552564572,0.09194811275723144
0.5,2.0,0.7,0.8882894528391976,218119.64306486901,0.09311979305541078
0.3,1.5,0.5,0.8869532481135258,219420.26391206472,0.089514703160223
0.3,1.5,0.7,0.8869145648442267,219457.8022182383,0.09121835490188472
0.3,1.5,0.3,0.8867305454074771,219636.28711962645,0.08651306579997586
0.3,2.0,0.7,0.8839981381007097,222269.65162572343,0.09547049393538705
0.3,2.0,0.5,0.8838610148367524,222400.98287328018,0.09587155063845591
0.3,2.0,0.3,0.883076680622119,223150.70175380135,0.09268950915854901
